baby 啤啤	婴儿。
含含声	①形容人声鼎沸②火势很猛的声音
听下	一会儿之后、过后
听下听下	听了一段时间。
听价唔听斗	价钱要论，量也要论，比喻偏听不得。
听住嚟	听好啦。
听佢指	全听他的指挥
听出瘾	听得很入迷，很好听。
听到耳油出	比喻所听的故事很好听，令人入迷
听古唔好驳古	听人家讲故事不要老是去纠正
听听埋埋	指经常听一些小道消息，而自己不会去分析
听埋听埋	把那些小道消息也照单全收。
听实	注意听好了
听得明	浅显易懂，一听就明白
听执	等着倒闭
听执笠	这么干下去就等着破产吧
听教	听话
听日	明天
听早	明早
听晒笛	很听话，服服帖帖
听晚	明天晚下
听晚夜	明天晚上
听朝	明天早上
听朝早	明天早上
听殃	等着倒楣、祸到临头
听笛	听某人的指挥
听见晒	全都听见了
听讲	①听说②听老师讲课
听闻	听说
听闻讲	听人家说，听说
吱吱喳喳	大声议论，旁若无人
吱吱肤肤	窃窃私语
吱喳姑娘心定性，密实姑娘假正经	吱吱喳喳的女孩反而心很定，不爱说话的姑娘反而会出问题，比喻不能单从表面去看个人
吹乒乓	①吹肥皂泡泡②饱沫容易破，比喻人生无常，难免有突然的危险③气人
吹冻佢	向它吹气，使之快凉。
吹到胀	指气得要命
吹到胀晒	①把气球吹大了②被气坏了
吹咗	①给风吹走了②恋爱关系完了
吹咩	你能把我怎样
吹唔胀	奈何不了，无可奈何
吹啲打跌利事——嘥气	吹了也白吹，因丟了报酬，指徒劳无功
吹大花筒	讲得天花乱坠而没有实际的东西
吹得我胀咩	你能把我怎样
吹水	吹牛皮或夸夸其谈
吹水唔抹嘴	吹牛皮不考虑后果
吹水大王	吹牛皮大王
吹水王	喜欢讲大话、吹牛的人
吹波	理发时吹风吹成波浪纹
吹火筒	农村生火做饭用来吹火的竹筒
吹烟	①吞云吐雾吹烟圈②旧指吸鸦片烟
吹爆	①吹气球吹破了②气坏了
吹糠见米	①很快见效果②不费力气容易做的事
吹罚	裁判鸣笛示意罚定位球。
吹胀	被人气坏了
吹须又碌眼	把人气得吹胡子瞪眼睛
吹须碌眼	气得吹胡子、瞪眼睛
吹鸡	①吹哨子②集合③带头
吹鸡货	背时的次货
吻水	这场球要追回来已经是很困难了
吽ngau6仔	傻小子
吽下吽下	头脑简单，反应迟钝
吽吽窦窦	反应慢，迟钝，像木头人似的
吽哣	①发呆、呆滞②无精打采
吽梨	比喻呆子
呀呀乌	①半桶水②技艺最差劲
呃人	骗人、不诚实
呃人呃物	欺骗人，还骗取钱财。
呃唔倒	骗不了人的。
呃晒	①说不上来②全骗过了
呃神又骗鬼	指欺骗人的伎俩。
呃秤	卖东西秤头不够，骗顾客
呃钱	骗钱
呃食	骗吃
呃饮呃食	骗吃骗喝。有时候指那些自认为很能办事的人，別人请他上馆子，最后却什么事也办不成
呃鬼食豆腐	盂兰节时，撒豆腐当做肉来骗鬼。比喻骗人的勾当
呆呆滞滞	傻乎乎的，傻呆呆的
告到你甩裤	形容到处告状，告得你不得安宁
呕晒	全吐出来了、吐完了
呕气	斗气、发闷气
呕血	吐血
呢一味	这一道菜，这些东西
呢一排	这些日子，近来，也说成「呢一轮」
呢一阵	这一阵子，这段日子
呢世人	指这一辈子
呢份人	这个人
呢便	这边。
呢几日	这几天。
呢匀	这次
呢单	这件
呢呢拿拿	象声词，快速行动时发出的声音
呢呢粒粒	身上起的红色小粒，痒痒的。
呢味餸	这道菜
呢啲事	这些事，这种事
呢回	这一次、这一回
呢场波	这一场比赛。
呢头	这一边
呢家嘢	比喻不大正当的行业、营生。
呢层	这一层。
呢度	这里。
呢恕	这里。
呢日	这一天
呢条计	指这个办法。
呢样	这一种
呢次弊	这回糟了，出问题，麻烦了
呢牌	这一阵子
呢班嘢	这一班家伙
呢球波	这一球。
呢笪	这块（地方）
呢笪地	这块地方
呢脱人	这一代的人
呢趟	这一回
呢铺	这一盘
呢队波	这一支球队。
呢阵	现在、这会儿。
呢阵时	①这个时候②这会儿，现在
周不时	不时地，时常
周围唱佢	在很多地方说他的不是，低毁他
周围望	①四处看②东张西望
周围逛	到处閒逛
周围钻	到处乱钻，漫无目的。
周时	经常、时常
周时系	整天都是这样。
周时都系	经常都是这样的
周月清	形容每月的薪金当月用完，没有盈余。
周至	①整齐、周正②周到、周全
周街行	满大街胡乱地走。
周身	满身
周身债	指身上债务很多，很麻烦。
周身刀，冇把利	满身都是证书但没有一样是拿手的。
周身唔坠财	①麻烦事缠著②满身不舒展。
周身唔妥	满身感觉不舒服，想要闹病了。
周身唔得閒	有干不完的工作，忙得很
周身唔自在	①生病了身体不舒服②工作中遇到不顺心的事
周身唔自然	①感到汗身不舒服②感到很紧张
周身啰啰挛	满身好像有蚂蚁咬那样，这也不舒服，那也不舒服
周身喐	比喻坐立不定
周身屎	①自身存在很多问题②比喻惹了一身的麻烦事
周身打冷震	冻得上牙打下牙，全身直打哆嗦
周身打震	因恐慌浑身颤抖
周身瘾	形容人什么都想试一试，但最后什么也做不成
周身蚁	一身麻烦
味粉	味精
味粥	有鱼、肉等配料的粥的统称
呷haap3醋	吃醋。
呻气	把埋怨不满、郁闷焦虑统统讲出来。
呻穷	到处哭穷
呻笨	因买贵了一点东西而不断地自责。
呼呼喝喝	上司对下属不爱惜，时常骂骂咧咧的，还有指责、训斥
命丑	命运不好
命仔	小命
命正	命运好
命水	命运
命里有时终须有，命里无时莫强求	是你的就是你的，不是你的你就不要拼命去强求，这是宿命论的说法
咁䉺hong6	没一点油水，没什么利益
咁上下	过得去就算了，勉勉强强。
咁上紧	差不多
咁串	太嚣张了。
咁乔	这么漂亮
咁乔kiu2	这么巧
咁低庄	比喻手段低下、卑鄙
咁口响	说得这么响亮，这么好听
咁口爽	答应得这么爽快，实际上能否做到，令人生疑
咁口硬	还这么嘴硬，不肯认输
咁叹	这么会享受
咁叻	聪明、灵活、反应快
咁吻水	差点就错过了，很玄乎，最后时刻才通过
咁唔利事	指遇到一些不顺心的事、麻烦事
咁唔通气	形容某人很不识趣
咁啱	这么巧。
咁啱嘅	怎么会这么巧。
咁多多	就这么少，一丁点
咁大个都唔化	长这么大了还没有成熟起来。
咁大把炮	你有这么大的把握吗
咁大整蛊	①谁在那暗中使坏②作弄人、陷害人
咁大枝嘢	大人物往往有些傲气、傲慢
咁大都唔化	长这么大了还不懂得规矩、道理
咁大阵仗	好大的排场，场面浩大
咁好人事	①说人肯为別人著想②肯为人，因而人缘好
咁好口	比喻嘴巴甜，懂礼貌
咁好唱口	以鸟的鸣叫喻人所谓人逢喜事精神爽
咁好死	表示坏疑，有这么好心的人。
咁好相与	形容与人合作、与人为善的好品德
咁孱	身子也太弱了。
咁恶	挺兇的。
咁恶啃	①很难吃得下②比喻工作困难很多，很难下手。
咁恶顶	形容人很难相处。
咁惊	这么恐慌
咁慢嘅	怎么这么慢
咁易甩身	这么容易脱身吗
咁正	这么正宗。
咁正嘅	这么正宗，高级享受。
咁渣嘅	太差劲了
咁灵	有这么灵。
咁熟都吠	这是调侃的话。每当办公室有人打喷嚏时就会说这句话，意为我们这么熟了，你还像看门狗那样对我吠吗。
咁狼毒	兇残、毒辣。
咁盏	有这等好事
咁盟mang4塞	不开窍，不明事理，信息闭塞。
咁耐	这么久。
咁肥	①人长得胖②肥腻
咁背	信息不灵
咁衰	太差劲了
咁贱	指货物或品格低下。
咁躁	脾气挺大的。
咁远水路	比喻这么远的路程
咁醒	挺机灵的
咁错荡	客气话，稀客，这么有空想起来看我。
咁长气	唠唠叨叨，说个没完
咁阴质	形容做出有损阴德的事。
咁零丁	指数目不是整数，含有小数点后两位
和事佬	①帮人调停纠纷的人②比喻专门和稀泥
和味	好味、好吃
和咗	某一场赛事平分秋色
和头酒	指帮派之间为了讲和而设的酒宴
和尚担遮——无发（法）无天	担遮即打伞，指无法无天
和尚食狗肉——一件系噉，两件又系噉	反正违纪了，一件跟十件都是一样的，无所谓了
和果	平局
和波	握手言和。[注]（足球）平局，引申至象棋、比赛等。
和波	球赛平局
咕咕声	①肚子饿时发出的声音②被气得不得了。
咕喱口，忤作手	咕喱指码头工，谓其口手不净。
咪个自	先別，且慢
咪书	使劲读书
咪乱咁讲	不要乱说话
咪住	不要干、停下来
咪住先	慢著，先別忙。
咪使惊	不要担心，不用害怕
咪使指意	①你甭想②你不要打这个算盘了
咪出声	不要吱声。
咪制	不要、不行
咪咪摩摩	动作太慢，磨磨蹭蹭。
咪喐	不要动
咪嘈	请勿大声喧哗
咪嘈住	不要吵
咪怕	不要怕
咪急住	先不急，慢慢来
咪搞我	不要把我拖下水
咪旨意	甭想，不要再打这个主意了
咪玩啦	①不要再玩了②不要开玩笑了
咪理	不要管
咪理佢	不要管他，不要去理睬他
咪理咁多	不要管那么多了
咪睇	不要看
咪话	不要说
咪话佢	不要再说他了
咪话唔话你	不要说我不预先提醒你。
咬佢唔入	因缺证据，想扳倒他也不容易。
咬实牙关	咬紧牙关挺过去。
咸丰嗰年	咸丰是清朝的皇帝，比喻很久很久以前的事了。
咸书	淫秽书刊
咸到苦	咸味太浓了
咸咸湿湿	①餐馆的厨房大多是油腻、湿漉漉的②下流的、淫秽的
咸唛唛	太咸了
咸干花生	用盐水煮熟晾干的带壳花生，不够脆。
咸得滞	指太咸了。
咸拐	咸的小菜的总称
咸桑桑	太咸了，咸得发苦。
咸水	洋的、香港的
咸水歌	生活在水上的人流行的一种民歌。
咸水草	旧时市场上用来绑鱼、菜、肉的水草
咸水角	一种点心。
咸水货	指走私货。
咸水鱼	海水鱼类的泛称。
咸湿	下流、淫秽
咸湿佬	淫秽、下流的男人
咸煎饼	一种油炸的食品，多用于早餐，也叫「油香饼」
咸猪手	指男性对女性实施「胸袭」的手
咸碟	淫秽光碟
咸脆花生	指带壳炒熟的花生，很脆
咸苦	艰辛、苦日子
咸虫	淫棍。
咸蛋滚汤——心都实晒	形容心里恐慌，情绪紧张
咸酸	用萝卜、青瓜等醃制的食品的总称。
咸餸	用来下饭的咸菜
咸鱼	①海鱼②指死尸。
咸鱼翻生	指某些原来已经没有任何希望的事情，后来却峰回路转
咸龙	旧时指港币
咿咿呶呶	①饶舌、耻噪声②做事草率，有头无尾。
咿咿哦哦	形容说话吞吞吐吐，想讲又不想讲的样子
咿咿喐喐	①动来动去②有什么动静，有什么情况
咿咿挹挹	①偷偷摸摸的样子②特指男女关系暖昧
咿喐	①动来动去②动静。
咿开棚牙	裂开嘴巴，露出牙齿
咿挹	调情、鬼混
咿牙	张开嘴巴，露出牙齿
咿牙𠾴ban6哨	指那些没有多少能力却在那瞎指挥的人
响鸡	裁判哨声响起
响鸡先	鸣哨在先，进球无效。
哑仔食黄连——有苦讲唔出	有苦有难自己知，真的是哑口难言
哨牙	上排门齿、犬齿外突。
哨街	特別喜欢逛大街的人
哨街猪	谓十分喜欢逛街的人
唔三唔四	①不正派②不伦不类
唔上唔落	①不上不下②形容干活卡壳了
唔争好远	差不了多少。
唔优	不愁、不用担心
唔会输蚀	有把握，不会吃亏
唔使	不用、用不著
唔使你理	不用你管。
唔使几耐	过不了多久时间
唔使咁惊青	用不著那么惊慌失措
唔使嚟	①不用来了②不用打算，別指望。
唔使审	还用问吗
唔使恨	①別想了，不用指望②表示程度之甚
唔使慌	①不必担心，不用慌②转义为「一定不」
唔使拘	不要客气，不必拘束
唔使睇	用不著看
唔使计	①不用说②不要斤斤计较
唔使讲咁多	跟他不用讲这么多理论。
唔使谂	不用想了，想也没用
唔使闭翳	请不用担心
唔使问阿贵	「阿贵」是个虚拟的人物，比喻那还用问吗，肯定是他
唔使问阿贵，梗系生积仔	这件事还用问吗？肯定搞砸了。
唔使预我	那些活动我不想参加，不要算我一个。
唔做中，唔做保，唔做媒人一世好	劝谕人们不要多事，不要去做担保、媒人之类，免得惹火烧身。
唔做老细，唔知柴米贵	不做老板，就不知道做生意的难处
唔做老细，唔知米贵	不是当家人，不知做生意的难处
唔傍家	不在家，不著家。
唔关事	不相干
唔净止	不单，不光
唔出窟	指不出家门，老是待在家中
唔制	不答应、不让
唔制得过	意为划不来，不合算
唔化	①不开窍②古板，不会变通③不懂事、不懂人情相故
唔单止	不仅，不但
唔受得	①受不了，接受不了②特指肠胃接受不了某种食物③別人的批评听不进去
唔受得咁补	①补品对男人往往受不了②对人过分的称赞、表扬，使人受不了。
