𫵱	cat6 【俗】男生殖器。
医生纸	ji1 sang1 zi2 病假证明；病假单。我今日有～，所以唔使返工。(我今天有病假单，所以不用上班。)
匿	nei1 躲藏。呢个百厌星唔知～咗去边，唔好揾佢喇。(这个捣蛋鬼不知道躲哪儿去了，别找他了。)│咿个贼子实系～埋喺度，要抄佢出嚟先得！(这个小偷一定藏在这里，要把他搜出来才行！)[书面语音nik1]
十冤九仇	sap6 jyun1 gau2 sau4 深仇大恨。两兄弟好似有～噉，一撞埋唔系嗌交就系打交。(兄弟俩好像有深仇大恨似的，一碰面不是吵架就是打架。)
十只手指孖埋	sap6 zek3 sau2 zi2 maa1 maai4【喻】【贬】手指头粘在一起，比喻什么也不会做。娶个心抱返嚟系～嘅，仲要我服侍佢，真系激死人！(娶个媳妇回来是什么也不会干的，还要我服侍她，真是气死人！)[又作「十指孖埋」]
十月火归天	sap6 jyut6 fo2 gwai1 tin1 【谚】农历十月天气燥热。
十足十	sap6 zuk1 sap6 十分像；极像。阿炜着起呢件衫，～个超人噉。(阿炜穿起这件衣服，完全像个超人似的。)[又作「十足」]
千拣万拣，拣着个烂灯盏	cin1 gaan2 maan6 gaan2 gaan1 zoek6 go3 laan6 dang1 zaan2 【熟】【喻】【贬】千挑万拣，到最后还是挑了个不好的。这是说人过于挑剔，反而不好。阿梅行咗六七个正式系～，而家嫁个噉嘅！(阿梅谈了六七个，真正 是千挑万选，抱个破罐，现在嫁一个这样的！)[「拣」与「盏」押韵]
千祈	cin1 kei4 表示恳切叮咛。千万。细路仔～唔好玩火。(小孩子千万别玩火。)
千秋	cin1 cau1 秋千。一种体育活动用具。
升	sing1 中国象棋的车、炮从己方底线附近前进至接近棋盘中央的位置。～车│～炮。
升	sing1 掴。一巴～过去。(一巴掌扇过去。)
升气球	sing1 hei2 kau4 可以上升的气球。日常所见小型者为玩具。其中型者可携带仪器、标语等升空，大型者可作载人航空器。
午时花六时变	ng5 si4 faa1 luk6 si4 bin3【喻】【贬】午时花(一种花卉)早晚不同，比喻变化无常或经常变卦(「午」与「五」谐音，同「六」相对)。佢个人～嘅，我唔敢信佢。(他这人一会儿一变，我不敢相信他。)
半囗囗	bun3 lang1 kang1。半中腰。行到～又行返转头。(走到一半又往回走。)
半囗囗	bun3 lang1 kang1。事情正在进行、还没完成的过程中；半道儿。点解做到～唔做埋落去啫？(怎么干到半截儿不干下去啦？)
半卖	bun3 maai6-2 用于饭店等出售的饭菜等；指较小的一份。再嚟两个～嘅。(再来两个小份的。)
半天吊	bun3 tin1 diu3 【喻】吊在半空里，比喻事情做到一半无法进行下去，又无法善后。呢件事而家～，冇晒符。(这件事现在就悬在那儿，毫无办法。)
半昼	bun3 zau3 半天时间(上午或下午)；半晌。呢啲工夫～就做得完。(这些活儿半晌就能干完。)
半条命	bun3 tiu4 meng6 【喻】体弱多病。你睇我～噉，点学你噉去锻炼啊？(你看我只剩半条人命的样子，怎么能像你那样去锻炼呢？)
半桶水	bun3 tung2 seoi2 【贬】半懂不懂；懂得不多。我都系～㗎咋。(我也不过是半瓶醋。)
半边月	bun3 bin1 jyut6-2 半个月亮。见到～，估都估到系初七初八啦(看见半个月亮，猜也可以猜出是初七初八左右。)
𠜱	pai1(pei1) 削。～皮│～苹果。
卒之	zyut1 zi1 终于。佢～都系嚟咗。(他终于还是来了。)
卓	coek3 精明；机灵(略带贬义)。
卓头	coek3 tau4 噱头。出～(弄噱头)。
单	daan1 用于事情等；桩、件。有一～生意│呢～嘢大镬喇！(这件事儿闹大！)
单	daan1 ①睁一只眼闭一只眼。我～唔倒眼嘅。(我没法儿睁一只眼闭一只眼。)②用一只眼睛(闭上另一只)来看。～下条方直唔直。(闭上一只眼睛来瞄一瞄那木方直不直。)③【俗】看。等我埋去～一～先。(让我过去先看一看。)
单企人	daan1 kei5 jan4-2 「亻」旁(单人旁。企：站立)。
单位	daan1 wai6-2 【外】套间；单元。包括起居室、会客室、厨房、洗盥室等。[英语apartment的意译]
单吊西	daan1 diu3 sai1 单件西装(只有上衣不配裤子)。呢排好兴～。(这段时间流样穿单件西装)[又作「单吊」。]
单料铜煲	daan1 liu6-2 tung4 bou1 【喻】字面意思是很薄的铜锅，可组成歇后语「一滚就熟熟」(「滚」有「水开」和「一起玩乐」双关意思)，喻容易与人稔熟的人。
单牏墙	daan1 jyu4-2 coeng4 一行砖砌成的墙壁(厚度为一块砖的宽度)。
单眼仔	daan1 ngaan5 zai2 只有一只眼睛的人(指年轻男性)；独眼龙。
单眼仔睇老婆——一眼睇晒	daan1 ngaan5 zai2 tai2 lou5 po4 jat1 ngaan5 tai2 saai3 独眼龙相亲——一眼全看到了(晒：全部)。是说一览无余。
单行	daan1 haang4 拖轮不拖带木筏或无机动船等，单迚航行。
单身寡仔	daan6 san1 gwaa2 zai2 单身汉(指年轻的)。
单身寡佬	daan6 san1 gwaa2 lou2 单身汉。
单车	daan1 ce1 自行车；脚踏车。
单车泵	daan1 ce1 bam1【外】打气筒(给自行车等轮胎加气的工具)。[「泵」为英语pump的音译]
卖	maai6-2 专用于饭店等出售的饭菜；份。一～炒面(一份炒面条)。
卖	maai6 (报纸)登载；报道。呢条消息呢两日报纸～到衡晒啦。(这条消息这两天报纸老是报道。)
卖剩蔗	maai6 zing6 ze3 【贬】【喻】剩下没人要的东两。啲～就畀我啊？(剩下没人要的东西就给我呀？)[剩文读sing6，又作「卖剩脚」]
卖口乖	maai6 hau2 gwaai1 【贬】①说好听的话。你唔使喺处～，又想𧨾老窦做咩呢？(你别净说好听的，又想求爸爸做什么事呢？)│净系识得～，做啲实际啲嘅嘢得唔得？(光会说好听的，做点实际一点儿的事情行不行？)②耍嘴皮。冇人听你～啊，收下把嘴啦。(没人听你耍嘴皮子，闭上你的嘴巴吧。)
卖告白	maai6 gou3 baak6 做广告(告白：广告)。而家啲商家舍得攞大贴银纸去～。(现在的商家舍得拿大把的钞票去做广告。)
卖大包	maai6 daai6 baau1 廉价倾销；大贱卖。好啦，冚𠾴唥十文包，实行～。(好吧，全部货物十块钱一包，来个廉价倾销。)[20年代广州有酒楼为招揽顾客，在包子内藏银元，顾客们戏谑为「～」，后引申为廉价倾销。]
卖头卖尾	maai6 tau4 maai6 mei5 出售剩余货物。
卖懒	maai6 laan5 旧俗。于除夕夜由小孩(或大人代替)到街上高呼「～」，据说可把孩子的懒惰「卖」出，来年变得勤快。
卖猪仔	maai6 zyu1 zai2 出卖(人)；耍弄。都系查清楚呢单嘢真定流先，咪畀人～添。(还是先查清楚这件事是真是假，别给耍了。)[上世纪末本世纪初，许多广东居民被哄骗到海外当劳工，因一签合同即失去人身自由，如同被买卖的畜生，故称为～。现代意义略变]
卖生藕	maai6 saang1 ngau5 【喻】【贬】(女人)主动地向男人卖弄风情。
卖甩	maai6 lat1 甩掉(人)；撇开(不管)。呢匀我哋冚𠾴唥畀陈仔～嘞，做咗老衬都唔知。(这回我们全给小陈甩了，当了笨蛋也不知道。)
卖面光	maai6 min6 gwong1 【喻】【贬】用虚伪的言行来讨人高兴。
卖风	maai6 fung1 女麻风病人引诱男人与之发生性关系，把麻风病传给他？传说这样可使女患者自己病愈或病情减轻，实际上并无科学根据，而这种行为也是极其丑恶和不道德的。
卖鱼佬洗身——冇腥	maai6 jyu4 lou2 sai2 san1 mou5 seng1 hei3 【歇】卖鱼的人本来满身腥气，洗澡以后腥气就没了(洗身：洗澡)「腥」与「声」同音，以谐音谓没希望。[参见「冇声气」]
南乳	naam4 jyu5 一种以芋头为主要原料制成的调味品。较腐乳大，红色，味咸。
南乳肉	naam4 jyu5 juk6 五香花生仁。据说制作时需以「南乳」调味，故称。[参见「南乳」]
南北行	naam4 bak1 hong4-2 经营转口贸易的商行。去～买埋啲参茸海味。(到经营转口贸易的商行买点儿人参鹿茸海产。)
南无佬	naam4 mou4 lou2 做法事的人。[本当指口念「南无阿弥陀佛」的人，即和尚，但实际上包括道士、巫师等]
南枣	naam4 zou2 红枣的一种，果形较大。
南洋	naam4 joeng4-2 指亚洲东南部的半岛和群岛，也泛指东南亚地区。[旧时广东人出国谋生，到东南亚的极多；目前东南亚的华侨和已入本地籍的华人亦以广东人居多。]
南洋伯	naam4 joeng2 baak3 从东南亚回来的华侨客人(指老年男性)。
南路	naam4 lou6 指旧时高、廉、雷、琼四州之地，包括今广东西南部、广西东南一部和海南省。
南风窗	naam4 fung1 coeng1 【喻】本指朝南的窗户(广州夏日暑热，居室有南窗取风很重要)，比喻亲友在港澳或海外给予的经济支援(港澳恰在广州南面)。佢屋企有～，手头梗系阔绰啲啦。(他家有外面的经济支援，手头当然松动些。)
博	bok3 【贬】伺机渔利。你条契弟鬼鬼鼠鼠噉跟住晒，～乜嘢啊？(你这兔崽子鬼鬼崇崇地老是跟着，想干什么？)
博	bok3 ①碰运气。得唔得都去～下啦。(行不行都去碰碰运气吧。)②利用机会，加以努力，以期取得成果(但能否取得成果难以预知)。为人一世，能够有几回～啊！(人生一世，能有几次可施以努力的机会呢！)
博乱	bok3 leon6 【贬】趁乱渔利；浑水摸鱼；乘人不注意搞鬼(博：伺机取利)。攞我手抽做乜啊？想～啊你！(拿我手提袋干嘛？想浑水摸鱼吗你！)
博傻	bok3 so4 【贬】假装糊涂，伺机取利。讲明每人三个你仲攞多个，～咩！(讲明每人三个你还多拿一个，装疯卖傻呀！)
博彩	bok3 coi2 【喻】碰运气(彩：彩票)。我不过系嚟～嘅啫。(我不过是来碰运气的。)
博懵	bok3 mung2 【贬】趁人不注意或一时糊涂之机取利。好多对眼掘实㗎，你咪～啊！(好多双眼睛盯住的，你别浑水摸鱼哪！)
博拉	bok3 laai1 【贬】字面意思是想被人抓(博：博取；拉：逮捕)，实际指做违法的事或可能导致严重后果的事。日光日白咿咿邑邑， ～啊？(光天化日之下耍流氓，想进班房吗？)
卜卜(㩧㩧)斋	bok1 bok1 zaai1 【旧】私塾。旧时老窦～读书㗎咋。(过去爸爸只是在私塾读书。)。
占米	zim1 mai5 ①非粘性籼稻米，为广东人主要食用米，品种很多。②泛指非粘性米，与糯米相对。
卡位	kaa1 wai6-2 餐厅、酒楼中的一种座位，因形似火车车厢中的座椅，故名(卡：火车车厢)。[「卡」为英语car的音译]
卡式机	kaa1 sik1 gei1 【外】盒式收录机。[「卡 式」为英语cassette tape recorder的省译]
卤味	lou5 mei6-2 酱卤肉类、杂碎等的总称。
印水纸	jan3 seoi2 zi2 吸墨纸；印花纸。吸液纸的一种。用化学木浆或棉浆制成。纸质粗松，吸水性强。供书写时吸干墨水用。
危危乎	ngai4 ngai4 fu4 危险。呢间屋～想冧想冧噃，住得人嘅咩？(这所房子挺危险的，像是要倒的样子，能住人吗？)
即估	zik1 gu2 以为。我～呢件衫系你嘅。(我以为这件衣服是你的。)
即刻	zik1 haak1 立刻；立即；马上。呢单嘢我～同你搞掂。(这件事我立刻帮你办好。)
即管	zik1 gun2 表示肯定某种做法，可以不受限制地放心去做；尽管。你想嚟就～嚟啦。(你想来就尽管来吧。)│有乜嘢唔掂～揾我。(有什么不妥尽管找我。)[普通话「尽管」还有一个用法接近「虽然」，广州话没有]
即系	zik1 hai6 表示指定的判断。就是。沪～上海。
厅	teng1 客厅。入嚟～度倾下偈。(进来客厅聊聊天。)
压	aat3 臊(尿臭味)。你笃尿够晒～。(你那泡尿真够臊的。)
压堪堪	aat3-2 ham1 ham1 【贬】臊臊的(尿臭味)。呢啲系唔系尿嚟㗎？～嘅。(这是不是尿呀？一股臊味儿。)
厔	zat1 音质。瓶塞。我头先将个～趸喺度𠺝，唔见咗嘅？(我刚才把塞子放这儿，怎不见了？)[汉典网音zat6 ]
厔	zat1 塞。你将件衫～咗去边啊？(你把衣服塞到哪儿了？)│～住条罅。(把缝填上。)[汉典网音zat6 ]
厘士	lei1 si2 【外】花边、饰边；网状织物。[英语lace]
厘戥	lei4 dang2 小型杆秤，为中药房常用的衡具。
厚𢱕𢱕	hau5 dap6 dap6 【贬】很厚。咁热，着到～，因住焗亲啊。(这么热，穿得这么厚，小心中暑。)
厚笠	hau5 lap1 厚绒衣。
厚身	hau5 san1 (物体)厚。呢度有两把刀， ～嗰把用嚟斫骨嘅。(这儿有两把刀，厚的那把是用来剁骨头的。)
原子笔	jyun4 zi2 bat1 圆珠笔。[普通话旧亦称～，广州话沿用至今]
原子粒	jyun4 zi2 nap1 品体管。
原子袜	jyun4 zi2 mat6 尼龙袜子。[在40年代后期及以后一段时期，大量新产品被标榜以「原子」之名，尼龙袜子即其中之一]
原底	jyun4 dai2 原本；本来。佢～同我一间厂嘅。(他原本跟我是一个工厂的。)│你仲住喺～嗰度啊？(你还住原来那地方吗？)
厣	jim2 (蟹腹下的)软盖、(螺蛳等的)掩盖壳口的薄片。
去别有天	heoi3 bit6 jau5 tin1 【婉】【谑】【旧】死。「别有天」是以前广州殡仪馆的雅号。
去大烟筒	hoei3 daai6 jin1 tung4-1 【婉】【谑】死(大烟筒：火葬场)。
厾(督)	duk1 (棋子)向前走。～卒(拱卒)│只车～到落底。(那车一直进到底线。)
厾(督)	duk1 扎；捅。～窿(扎个洞)│～背脊。(捅脊梁背。喻背后咒骂)
厾(督)卒	duk1 zeot1 【喻】本义为象棋中的拱卒，比喻为偷渡(因象棋中有「虱卒过河」之说)。[六七十年代专指偷渡到香港]
又	jau6 同「又都」。做～由你，唔做～由你。(干也由你，不干也由你。)[此词又表示重复等，则同于普通话]
又够	jau6 gau3 同「够」。小何～唔合格啦，佢又去得？(小何也是不合格嘛，怎么他又能去？)
又试	jau6 si3 表示动作或状态重复发生，或不同的动作或状态相继发生；又。点解啱啱去完～去㗎？(为什么刚刚去过又去呢？)│啱考完试，～嚟数学竞赛，气都冇啖唞。(刚考完试，又来数学竞赛，想喘一口气也不行。)
又都	jau6 dou1 同「都①」。你去得，我～去得𠺝。(你能去，我也能去嘛。)
叉烧	caa1 siu1 ①烤肉条。以烤肉叉子叉着烧烤，故名。上肉～(肥瘦参半的烤肉条)│脢～(烤瘦肉条)②一种味极浓的红烧肉。[烤肉条质优价贵，饭店时以红烧肉顶替，久而久之，名称相混]
叉烧	【喻】caa1 siu1 (排球)探头球。小李呢个～真系靓。(小李这个探头球打得真漂亮。)
叉烧包	caa1 siu1 baau1 以红烧肉作馅的包子(叉烧：红烧肉)。
友	jau5-2 【贬】【昵】①同「友仔」。②词尾，略带贬义，有时带亲昵口吻。为食～(馋鬼)│浪荡～ (浪荡子)│胡须～(留胡子的人)
友仔	jau5-2 zai2 【贬】【昵】对人含贬义，但有时又带亲昵口吻的指称。条～唔靠得嘅。(这家伙靠不住。)│条～都几叻。(这家伙还挺有能耐。)
双企人	soeng1 kei5 jan4-2 「彳」旁(双人旁)。
双牏墙	soeng1 jyu4-2 coeng4 两行砖砌成的墙壁(厚度为两块砖的宽度)。
双蒸	soeng1 zing1 经两次蒸馏的烧酒，酒精含量较低。
反	faan2 玩儿。两个细路～到唔记得返屋企食饭。(两个孩子玩得忘了回家吃饭。)
反为	faan2 wai4 表示转折，与前面讲的意思相反或出乎意料。反而。佢想用棍㩧人， ～被支棍㩧亲自己。(他想用棍子打人，反而让棍子打到自己。)
